xc,satisfied condition?,$r_s$ range,$s$ range,$\zeta$ range,$\alpha$ range,$q$ range 
mgga_c_b88,True,---,---,---,---,---
mgga_c_b94,True,---,---,---,---,---
mgga_c_bc95,True,---,---,---,---,---
mgga_c_cs,False,"[0.0017671890630210072, 5.0]","[1.0606060606060606, 5.0]","[0.0, 0.9473684210526315]","[0.0, 5.0]","[0.0, 5.0]"
mgga_c_dldf,False,"[0.0001, 5.0]","[1.2121212121212122, 5.0]","[0.0, 0.9473684210526315]","[0.0, 5.0]",---
mgga_c_hltapw,True,---,---,---,---,---
mgga_c_kcis,True,---,---,---,---,---
mgga_c_kcisk,False,"[0.12712286457291455, 1.4973695139027805]","[0.30303030303030304, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m05_2x,False,"[0.0001, 5.0]","[0.9595959595959596, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m05,False,"[0.0001, 5.0]","[0.6060606060606061, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m06_2x,False,"[0.0001, 5.0]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m06,False,"[0.0001, 5.0]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m06_hf,False,"[0.0001, 5.0]","[0.0, 4.494949494949495]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m06_l,False,"[0.0001, 5.0]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m06_sx,False,"[0.0001, 5.0]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m08_hx,False,"[0.0001, 5.0]","[0.050505050505050504, 2.0707070707070705]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m08_so,False,"[0.0001, 5.0]","[0.050505050505050504, 2.2727272727272725]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m11,False,"[0.0001, 5.0]","[0.0, 2.474747474747475]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_m11_l,False,"[0.0001, 5.0]","[0.050505050505050504, 3.282828282828283]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_mn12_l,False,"[0.0001, 5.0]","[0.050505050505050504, 3.484848484848485]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_mn12_sx,False,"[0.0001, 5.0]","[0.0, 2.1717171717171717]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_mn15,False,"[0.0001, 5.0]","[0.050505050505050504, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_mn15_l,False,"[0.0001, 5.0]","[0.050505050505050504, 3.9393939393939394]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_pkzb,False,"[0.0001, 0.5882058611722344]","[0.10101010101010101, 1.7171717171717171]","[0.0, 0.9473684210526315]","[0.0, 5.0]",---
mgga_c_r2scan,False,"[0.0001, 0.004100720144028806]","[0.30303030303030304, 0.45454545454545453]","[0.9473684210526315, 0.9473684210526315]","[0.5555555555555556, 5.0]",---
mgga_c_r2scanl,True,---,---,---,---,---
mgga_c_revm06,False,"[0.0001, 5.0]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_revm06_l,False,"[0.0001, 5.0]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_revm11,False,"[0.0001, 5.0]","[0.0, 2.0202020202020203]","[0.0, 1.0]","[0.0, 5.0]",---
mgga_c_revscan,False,"[0.0001, 5.0]","[0.20202020202020202, 5.0]","[0.0, 0.9473684210526315]","[0.35353535353535354, 5.0]",---
mgga_c_revscan_vv10,False,"[0.0001, 5.0]","[0.20202020202020202, 5.0]","[0.0, 0.9473684210526315]","[0.35353535353535354, 5.0]",---
mgga_c_revtm,False,"[0.0001, 2.6035686337267454]","[0.10101010101010101, 2.2727272727272725]","[0.0, 0.9473684210526315]","[0.0, 5.0]",---
mgga_c_revtpss,False,"[0.0001, 3.0956572114422887]","[0.10101010101010101, 2.6262626262626263]","[0.0, 0.9473684210526315]","[0.0, 5.0]",---
mgga_c_rscan,False,"[0.0001, 0.004100720144028806]","[0.30303030303030304, 0.45454545454545453]","[0.9473684210526315, 0.9473684210526315]","[0.5555555555555556, 5.0]",---
mgga_c_scan,False,"[0.0001, 0.004100720144028806]","[0.30303030303030304, 0.45454545454545453]","[0.9473684210526315, 0.9473684210526315]","[0.5555555555555556, 5.0]",---
mgga_c_scanl,True,---,---,---,---,---
mgga_c_scanl_rvv10,True,---,---,---,---,---
mgga_c_scanl_vv10,True,---,---,---,---,---
mgga_c_scan_rvv10,False,"[0.0001, 0.004100720144028806]","[0.30303030303030304, 0.45454545454545453]","[0.9473684210526315, 0.9473684210526315]","[0.5555555555555556, 5.0]",---
mgga_c_scan_vv10,False,"[0.0001, 0.004100720144028806]","[0.30303030303030304, 0.45454545454545453]","[0.9473684210526315, 0.9473684210526315]","[0.5555555555555556, 5.0]",---
mgga_c_tm,False,"[0.0001, 0.24114338867773552]","[0.10101010101010101, 1.0101010101010102]","[0.9473684210526315, 0.9473684210526315]","[0.0, 5.0]",---
